date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:10	91/91	---MCZ	200	added ('OK')	application/javascript	etag:W/%2225e3a5dcaf00fb2b1ba0c8ecea6d2560%22	https://www.mixo.io/site/yates-en-panam-0ocni/assets/vite.c27b6911.js	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni/assets/vite.c27b6911.js	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:10	5251/5251	---MCZ	200	added ('OK')	application/javascript	etag:W/%22152102ae97bceddfdd6302655c5b3ff1%22	https://www.mixo.io/site/yates-en-panam-0ocni/assets/ScriptLoader.75a2659d.js	D:/Valentin/YatesEnPanama/www.mixo.io/site/yates-en-panam-0ocni/assets/ScriptLoader.75a2659d.js	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:10	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2018%20Jan%202024%2019:06:11%20GMT	https://www.mixo.io/cdn-cgi/zaraz/s.js?z=	D:/Valentin/YatesEnPanama/www.mixo.io/cdn-cgi/zaraz/sd0d9.js	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:11	45855/45855	---M--	200	added ('OK')	image/png	etag:%22d5eead78867e0bffa2408cec058de65e%22	https://storage.googleapis.com/mixo-sites/images/file-e6bad100-8d0c-4332-aeba-b1ce4e9a7e65.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-e6bad100-8d0c-4332-aeba-b1ce4e9a7e65.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:11	1438/1438	---M--	200	added ('OK')	image/png	etag:%22e9d9b0f409f01e531b9e149feb8d6c09%22	https://storage.googleapis.com/mixo-sites/images/file-d6e20319-385d-4574-acb2-842d5a68f0e8.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-d6e20319-385d-4574-acb2-842d5a68f0e8.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:12	499822/499822	---M--	200	added ('OK')	image/png	etag:%2271f80c81614e34095fe4c022f6236ff5%22	https://storage.googleapis.com/mixo-sites/images/file-962ecb43-5e58-4193-a934-be7ef2e5cef1.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-962ecb43-5e58-4193-a934-be7ef2e5cef1.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:12	13608/13608	---M--	200	added ('OK')	image/png	etag:%2271d21a594be14d62389ad4d558aa6ace%22	https://storage.googleapis.com/mixo-sites/images/file-c895546a-1608-408d-bdb2-2eaa5efbe0da.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-c895546a-1608-408d-bdb2-2eaa5efbe0da.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:13	615376/615376	---M--	200	added ('OK')	image/png	etag:%224331b58ec94ae7cf03bb3681922c3e1c%22	https://storage.googleapis.com/mixo-sites/images/file-0be3c08c-1d9c-4e99-aec6-eac62cae33c1.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-0be3c08c-1d9c-4e99-aec6-eac62cae33c1.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:14	160346/160346	---M--	200	added ('OK')	image/png	etag:%22b77fa18c6dc0ea38c3f969921eb9abd8%22	https://storage.googleapis.com/mixo-sites/images/file-f2216da9-38b4-4aed-9388-16dcd1d49d20.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-f2216da9-38b4-4aed-9388-16dcd1d49d20.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:14	56787/56787	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jul%202023%2003:19:16%20GMT	https://www.mixo.io/site/yatesenpanama@gmail.com	D:/Valentin/YatesEnPanama/www.mixo.io/site/yatesenpanama@gmail.com	(from https://www.mixo.io/site/yates-en-panam-0ocni)
16:06:14	1564089/1564089	---M--	200	added ('OK')	image/png	etag:%22b84e5586b5d693fd8f551caadadc43eb%22	https://storage.googleapis.com/mixo-sites/images/file-721ab72e-fba6-490c-8493-a9f90eb4efb1.png	D:/Valentin/YatesEnPanama/storage.googleapis.com/mixo-sites/images/file-721ab72e-fba6-490c-8493-a9f90eb4efb1.png	(from https://www.mixo.io/site/yates-en-panam-0ocni)
